Title,LiveUrl,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid,Roles,Products,Levels,MSAuthor,GitHubAuthor
Manage hybrid infrastructure with Azure Arc,https://docs.microsoft.com/en-us/learn/paths/manage-hybrid-infrastructure-with-azure-arc/,5,"1,819","8,914",8.06%,459,37,35,2180,17.30943742,255,195,learn.manage-hybrid-infrastructure-with-azure-arc,solution-architect,azure;azure-arc,beginner,micrum,micrum
Work with Asset Management for Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/work-asset-management-dyn365-supply-chain-mgmt/,12,886,"10,253",8.03%,249,20,19,2180,22.00261475,583,792,learn-dynamics.work-asset-management-dyn365-supply-chain-mgmt,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,beginner,cstorega,cstorega
Deploy and configure Windows Server IaaS Virtual Machine,https://docs.microsoft.com/en-us/learn/paths/deploy-configure-windows-server-iaas-virtual-machine/,4,632,"4,561",7.98%,263,21,22,2180,15.019673,332,204,learn.wwl.deploy-configure-windows-server-iaas-vm,administrator;solution-architect;student;technology-manager,azure;azure-clis;azure-cloud-shell;azure-portal;azure-storage;azure-virtual-machines,intermediate,tonyj,wwlpublish
Use best practices to secure and govern Microsoft Power Platform environments,https://docs.microsoft.com/en-us/learn/paths/best-practices-environments/,8,"6,298","56,286",7.89%,"3,813",301,301,2180,24.79537684,"2,461",386,learn-bizapps.best-practices-environments,administrator;functional-consultant,power-automate;power-platform;power-apps,intermediate,dbeasley,DaveBeasley
Build and operate machine learning solutions with Azure Databricks,https://docs.microsoft.com/en-us/learn/paths/build-operate-machine-learning-solutions-azure-databricks/,10,"2,768","42,677",7.80%,"2,359",184,193,2180,34.47810092,331,260,learn.wwl.build-operate-machine-learning-solutions-azure-databricks,data-scientist,azure-databricks;azure-machine-learning,intermediate,gmalc,wwlpublish
Get started with development in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/development-get-started-business-central/,6,"1,282","17,941",7.73%,906,70,77,2180,32.18641446,549,248,learn-dynamics.development-get-started-business-central,developer,dynamics-365;dynamics-business-central,beginner,kschimke,KevSch
Work with accounts receivable in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/paths/work-accounts-receivable-dyn365-finance/,4,961,"10,813",7.69%,533,41,44,2180,33.28692334,810,430,learn-dynamics.work-accounts-receivable-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-finance-operations,intermediate,cstorega,cstorega
Linux on Azure,https://docs.microsoft.com/en-us/learn/paths/azure-linux/,14,"148,870","1,921,731",7.67%,"3,819",293,313,2180,32.76197421,"2,581",577,learn.azure-linux,solution-architect;administrator;developer,azure,beginner,nickwalk,nickwalkmsft
Work with Dynamics 365 Sales Insights,https://docs.microsoft.com/en-us/learn/paths/work-sales-insights/,3,533,"3,929",7.66%,261,20,19,2180,16.25722326,388,260,learn-dynamics.work-sakes-insights,functional-consultant;business-user,dynamics-365;dynamics-sales;dynamics-sales-insights,intermediate,dbeasley,DaveBeasley
Develop using Power Apps and Power Automate for Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/power-apps-power-automate-business-central/,5,557,"4,250",7.66%,222,17,18,2180,14.84566128,262,388,learn-dynamics.power-apps-power-automate-business-central,developer;functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Work with data in C#,https://docs.microsoft.com/en-us/learn/paths/csharp-data/,5,"4,784","45,342",7.64%,"3,822",292,348,2180,28.04441541,"5,318",179,learn.languages.csharp-data,developer,dotnet,beginner,rotabor,bobtabor-msft
Windows Server file servers and storage management,https://docs.microsoft.com/en-us/learn/paths/windows-server-file-servers-storage-management/,6,"2,067","12,934",7.62%,748,57,63,2180,12.61476375,794,295,learn.wwl.windows-server-file-servers-storage-management,administrator;security-engineer;solution-architect,windows-server,intermediate,tonyj,wwlpublish
Migrate SQL workloads to Azure,https://docs.microsoft.com/en-us/learn/paths/migrate-sql-workloads-azure/,6,"1,155","6,226",7.51%,466,35,38,2180,13.75454545,"1,828",225,learn.wwl.migrate-sql-workloads-to-azure,administrator;data-engineer;database-administrator;developer;solution-architect,azure-sql-database;azure-virtual-machines;sql-server,intermediate,chtestao,wwlpublish
Work with accounts payable in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/paths/work-accounts-payable-dyn365-finance/,3,875,"10,120",7.50%,613,46,50,2180,64.18788571,812,375,learn-dynamics.work-with-accounts-payable-in-dynamics-365-for-finance-and-ops,business-user;functional-consultant,dynamics-365;dynamics-finance;dynamics-finance-operations,intermediate,cstorega,cstorega
Introduction to developing with Finance and Operations apps,https://docs.microsoft.com/en-us/learn/paths/introduction-develop-finance-operations/,8,"1,980","29,426",7.45%,"1,141",85,94,2180,51.72118687,"1,225",530,learn-dynamics.introduction-develop-dynamics-365-finance-operations,developer,dynamics-365;dynamics-finance-operations,beginner,cstorega,cstorega
Explore Microsoft Graph scenarios for ASP.NET Core development,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-dotnet-core-scenarios/,3,456,"2,140",7.44%,215,16,20,2180,10.77182018,87,108,learn-m365.msgraph-dotnet-core-scenarios,developer,m365;ms-graph;dotnet-core,intermediate,dwahlin,DanWahlin
Distributed programming on the cloud,https://docs.microsoft.com/en-us/learn/paths/cmu-cloud-computing-distributed-programming/,5,"1,039","3,796",7.37%,217,16,18,2180,8.817998075,959,414,learn.cmu-cloud-computing.distributed-programming,developer;student,azure,beginner;intermediate,chnoring,softchris
Create and use analytics reports with Power BI,https://docs.microsoft.com/en-us/learn/paths/create-use-analytics-reports-power-bi/,6,"133,086","816,276",7.32%,"26,898","1,968","2,134",2180,14.36697824,"29,137",375,learn-bizapps.create-use-analytics-reports-power-bi,business-user;functional-consultant;data-analyst,power-platform;power-bi,beginner,robde,heyrob
Develop apps for Microsoft Teams – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-msteams-associate/,8,"6,117","38,933",7.30%,"1,439",105,107,2180,16.06146259,"3,040",559,learn-m365.msteams-associate,developer,m365;office-teams,intermediate,suzanz,andrewconnell-msft
Use Artificial Intelligence in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/use-artificial-intelligence/,3,168,735,7.29%,96,7,9,2180,8.370238095,138,133,learn-dynamics.use-artificial-intelligence,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Configure and use the general ledger in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/paths/configure-use-general-ledger-dyn365-finance/,9,"11,167","278,339",7.26%,"1,667",121,83,2180,26.79565386,"1,343",810,learn-dynamics.configure-use-general-ledger-dynamics-365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-finance;dynamics-finance-operations,beginner,cstorega,cstorega
Configure and use lean manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/configure-use-lean-manufacturing-dyn365-supply-chain-mgmt/,7,"7,529","198,670",7.02%,342,24,25,2180,38.37052065,481,718,learn-dynamics.configure-and-use-lean-manufacturing-in-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,beginner,cstorega,cstorega
Develop with Azure Digital Twins,https://docs.microsoft.com/en-us/learn/paths/develop-azure-digital-twins/,4,"1,522","16,450",6.99%,"1,044",73,82,2180,33.52591984,449,218,learn.azure.develop-azure-digital-twins,developer,azure;azure-iot;azure-time-series-insights;azure-iot-hub;azure-functions;azure-event-grid;azure-event-hubs;azure-digital-twins,intermediate;advanced,rabayoum,raniabayoumy
Deploy and extend Dynamics 365 Commerce,https://docs.microsoft.com/en-us/learn/paths/deploy-dynamics-365-commerce/,6,536,"4,196",6.90%,145,10,15,2180,19.87901119,176,533,learn-dynamics.deploy-dynamics-365-commerce,functional-consultant;solution-architect;developer;administrator,dynamics-365;dynamics-commerce,beginner,cstorega,cstorega
Interface with Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/interface-with-business-central/,5,899,"7,587",6.83%,293,20,22,2180,24.23828328,228,259,learn-dynamics.interface-with-business-central,developer,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Get started with the features in Dynamics 365 Project Operations,https://docs.microsoft.com/en-us/learn/paths/get-started-features-project-operations/,7,958,"7,783",6.69%,239,16,16,2180,21.44702505,116,715,learn-dynamics.get-started-features-project-operations,functional-consultant;business-user,dynamics-365;dynamics-project-operations;dynamics-finance;dynamics-finance-operations;dynamics-sales;dynamics-field-service,intermediate,cstorega,cstorega
Extend Microsoft 365 – Fundamental,https://docs.microsoft.com/en-us/learn/paths/m365-extend-fundamental/,4,"7,051","41,853",6.61%,"3,845",254,276,2180,15.32244599,"6,184",169,learn-m365.m365-extend-fundamental,developer,m365;office-teams;office-sp-framework;office-add-ins,beginner,suzanz,andrewconnell-msft
AZ-500 part-1: Manage Identity and Access,https://docs.microsoft.com/en-us/learn/paths/manage-identity-access/,5,"8,442","119,221",6.59%,"7,647",504,565,2180,47.81138751,620,337,learn.wwl.manage-identity-access,security-engineer,azure,intermediate,roberts,wwlpublish
Windows Server Hyper-V and Virtualization,https://docs.microsoft.com/en-us/learn/paths/windows-server-hyper-v-virtualization/,6,"1,992","18,557",6.56%,"1,021",67,77,2180,21.22598728,999,311,learn.wwl.windows-server-hyper-v-virtualization,administrator;security-engineer;solution-architect,windows-server,intermediate,tonyj,wwlpublish
AZ-305: Design infrastructure solutions,https://docs.microsoft.com/en-us/learn/paths/design-infranstructure-solutions/,4,"1,183","8,708",6.54%,"1,040",68,72,2180,18.25826994,92,120,learn.wwl.design-infranstructure-solutions,solution-architect,azure,advanced,cynthist,wwlpublish
Build apps with Microsoft Graph – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-associate/,7,"3,631","24,875",6.54%,"1,193",78,91,2180,19.90153768,"2,005",461,learn-m365.msgraph-associate,developer,ms-graph;m365,intermediate,suzanz,andrewconnell-msft
Automate administrative tasks by using PowerShell,https://docs.microsoft.com/en-us/learn/paths/powershell/,6,"23,234","207,938",6.38%,"3,636",232,277,2180,24.43553772,"2,138",177,learn.powershell,student;administrator;developer,vs-code,beginner,chnoring,softchris
SAP certified offerings for Azure,https://docs.microsoft.com/en-us/learn/paths/sap-certified-offerings/,4,"1,560","11,684",6.30%,"1,269",80,87,2180,19.38111111,"1,816",189,learn.wwl.sap-certified-offerings-azure,administrator,azure,beginner,bradj,wwlpublish
Build and operate machine learning solutions with Azure Machine Learning,https://docs.microsoft.com/en-us/learn/paths/build-ai-solutions-with-azure-ml-service/,15,"7,519","124,306",6.29%,"5,090",320,308,2180,42.19262313,"8,693",647,learn.data-ai.build-ai-solutions-with-azure-ml-service,data-scientist;student,azure;azure-machine-learning;azure-portal,intermediate,gmalc,wwlpublish
Understand data science for machine learning,https://docs.microsoft.com/en-us/learn/paths/understand-machine-learning/,9,"5,753","55,157",6.28%,"1,846",116,128,2180,37.62996118,545,445,learn.machinelearning.understanding-machine-learning,ai-engineer;data-scientist;developer;student,azure,beginner,jasdeb,jasallen
Secure your organization with Microsoft Defender for Endpoint,https://docs.microsoft.com/en-us/learn/paths/defender-endpoint-fundamentals/,9,"3,144","31,465",6.26%,"1,981",124,141,2180,21.18866624,576,145,learn-m365.m365-defender-endpoint-secure-organization,administrator;security-operations-analyst;security-engineer,m365;mdatp,beginner,beccarobins,lizap
"AZ-305: Design identity, governance, and monitor solutions",https://docs.microsoft.com/en-us/learn/paths/design-identity-governance-monitor-solutions/,3,"3,212","25,788",6.23%,"3,000",187,203,2180,25.40247509,145,93,learn.wwl.design-identity-governance-monitor-solutions,solution-architect,azure,advanced,cynthist,wwlpublish
SQL Server upgrades,https://docs.microsoft.com/en-us/learn/paths/sql-server-2017-upgrades/,5,"1,576","6,638",6.17%,308,19,22,2180,9.394701777,"1,309",193,learn-sqlserver.sql-server-2017-upgrades,data-engineer,sql-server,intermediate,v-gea,GeoffAllix
Work with NoSQL data in Azure Cosmos DB,https://docs.microsoft.com/en-us/learn/paths/work-with-nosql-data-in-azure-cosmos-db/,8,"6,307","61,464",6.15%,"1,463",90,99,2180,25.09203002,"6,855",363,learn.work-with-nosql-data-in-azure-cosmos-db,developer;data-engineer,azure;azure-cosmos-db;vs-code;azure-portal;azure-clis,beginner,adsteven,adrianstevens
Learn the application foundation with the AL programming language for Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/application-foundation-al-language/,9,"1,971","24,266",6.15%,862,53,43,2180,35.30408422,545,505,learn-dynamics.application-foundation-al-language,developer,dynamics-365;dynamics-business-central,intermediate;beginner,kschimke,KevSch
Use the Microsoft service adoption framework to drive adoption in your enterprise,https://docs.microsoft.com/en-us/learn/paths/m365-service-adoption/,4,"2,073","10,499",6.13%,"1,893",116,123,2180,17.51039556,"2,183",150,learn-m365.service-adoption,administrator,m365,beginner,teleary,lizap
Azure Stack HCI foundations,https://docs.microsoft.com/en-us/learn/paths/azure-stack-hci-foundations/,4,"1,519","8,192",6.07%,923,56,61,2180,19.05941409,507,179,learn.azure-stack-hci-foundations,administrator;ai-edge-engineer;business-owner;data-engineer;database-administrator;devops-engineer;privacy-manager;security-engineer;solution-architect;student;technology-manager,azure-stack-hci;azure-stack-hub;azure-stack-edge,beginner,micrum,micrum
Architect solutions for Dynamics 365 and Microsoft Power Platform,https://docs.microsoft.com/en-us/learn/paths/become-solution-architect/,5,"3,616","23,234",6.02%,"2,410",145,158,2180,19.52156619,"3,739",237,learn-dynamics.become-solution-architect,solution-architect,dynamics-365;power-platform,advanced,dbeasley,DaveBeasley
NVIDIA DeepStream development with Microsoft Azure,https://docs.microsoft.com/en-us/learn/paths/nvidia-deepstream-development-with-microsoft-azure/,3,514,"3,028",6.01%,383,23,26,2180,11.70032425,13,180,learn.nvidia-deepstream-development-azure,ai-engineer;data-scientist,azure;azure-iot;azure-container-registry;azure-iot-edge;azure-iot-hub,beginner,pdecarlo,toolboc
Create cloud native apps with Azure and open-source software,https://docs.microsoft.com/en-us/learn/paths/create-cloud-native-apps-with-azure-open-source/,7,941,"6,111",5.96%,386,23,25,2180,12.23737159,152,518,learn.azure.cna-architect-modern-apps,administrator;developer;solution-architect;student,azure;azure-kubernetes-service;azure-app-service;azure-container-registry;azure-cosmos-db;azure-iot-central;azure-pipelines;github;azure-database-postgresql;azure-monitor;azure-application-insights;azure-active-directory,intermediate,jasdeb,jasallen
Get started with SharePoint Syntex,https://docs.microsoft.com/en-us/learn/paths/syntex-get-started/,5,555,"3,370",5.93%,337,20,22,2180,11.25543544,165,95,learn-m365.syntex-get-started,administrator;business-user,m365,beginner,teleary,beccarobins
Deploy applications with Azure DevOps,https://docs.microsoft.com/en-us/learn/paths/deploy-applications-with-azure-devops/,8,"6,477","51,985",5.93%,"2,782",165,177,2180,24.78226031,"5,439",437,learn.azdo.deploy-applications-with-azure-devops,devops-engineer;administrator;developer,azure;azure-devops,intermediate,thpetche,tpetchel
Configure and use discrete manufacturing in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/configure-use-discrete-manufacturing-dyn365-supply-chain-mgmt/,7,"8,157","208,134",5.90%,525,31,34,2180,38.2343386,591,1105,learn-dynamics.configure-and-use-discrete-manufacturing-in-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,beginner,cstorega,cstorega
Work with Power Apps portals,https://docs.microsoft.com/en-us/learn/paths/work-power-apps-portals/,6,"1,459","9,081",5.85%,479,28,30,2180,16.05973269,602,260,learn-bizapps.work-power-apps-portals,maker;functional-consultant;administrator,power-platform;power-apps,intermediate,dbeasley,DaveBeasley
AZ-400: Develop an instrumentation strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-instrumentation-strategy/,11,"27,244","253,382",5.74%,"6,285",361,411,2180,23.28548182,"3,106",497,learn.az-400-develop-instrumentation-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-portal;azure-resource-manager;azure-application-insights;azure-monitor;azure-event-grid;azure-sentinel;azure-security-center;azure-service-health;vs-app-center;azure-virtual-machines;azure-app-service;azure-container-instances;azure-functions;azure-kubernetes-service;azure-logic-apps,beginner,thpetche,tpetchel
Create financial reports in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/create-financial-reports-dynamics-365-business-central/,5,958,"5,188",5.70%,263,15,16,2180,12.72077244,497,224,learn-dynamics.create-financial-reports-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Deploy 5G services with Azure,https://docs.microsoft.com/en-us/learn/paths/deploy-5g-services/,4,354,"1,749",5.70%,263,15,16,2180,17.63898305,67,142,learn.oxford.deploy-5g-services-with-azure,data-scientist;student,azure;azure-iot;azure-cloud-shell;azure-iot-edge;azure-iot-hub;azure-resource-manager;azure-virtual-machines,beginner,leestott,leestott
Creating your first web apps with React,https://docs.microsoft.com/en-us/learn/paths/react/,3,"2,441","16,462",5.65%,"1,627",92,102,2180,16.0327598,"1,182",81,learn.react,developer;student,azure-app-service-static;vs-code,beginner;intermediate,chrhar,GeekTrainer
Create intelligent health bots with Azure Health Bot,https://docs.microsoft.com/en-us/learn/paths/create-bots-azure-health-bot/,9,281,"2,198",5.63%,142,8,8,2180,10.61660735,44,277,learn.create-bots-azure-health-bot,developer,vs,beginner,chnoring,softchris
Build custom connectors for Power Automate,https://docs.microsoft.com/en-us/learn/paths/build-custom-connectors/,7,878,"5,236",5.58%,394,22,26,2180,15.08320046,219,259,learn-bizapps.build-custom-connectors,maker,power-platform;power-automate,intermediate,dbeasley,DaveBeasley
Take your first steps with C#,https://docs.microsoft.com/en-us/learn/paths/csharp-first-steps/,8,"35,932","415,291",5.58%,"22,772","1,270","1,539",2180,27.91647,"14,308",231,learn.languages.csharp-first-steps,developer;student,dotnet,beginner,rotabor,bobtabor-msft
Operate and maintain Azure Stack HCI,https://docs.microsoft.com/en-us/learn/paths/operate-maintain-azure-stack-hci/,4,392,"2,174",5.54%,271,15,16,2180,17.39553571,75,214,learn.wwl.operate-maintain-azure-stack-hci,devops-engineer;security-engineer;solution-architect;student;technology-manager,azure,intermediate,tonyj,wwlpublish
Architect network infrastructure in Azure,https://docs.microsoft.com/en-us/learn/paths/architect-network-infrastructure/,12,"27,579","504,362",5.52%,"8,691",480,529,2180,35.55133012,"15,605",564,learn.architect-network-infrastructure,solution-architect,azure;azure-virtual-network;azure-expressroute;azure-vpn-gateway;azure-application-gateway;azure-traffic-manager,intermediate,jaboes,jboeshart
Implement certifications in academic programs,https://docs.microsoft.com/en-us/learn/paths/academic-program-certifications/,4,474,"1,998",5.51%,381,21,25,2180,5.569936709,75,81,learn.academic-program-certifications,student;developer;higher-ed-educator;school-leader,azure,beginner,leestott,leestott
Configure and manage procurement and vendors in Dynamics 365 Supply Chain Management,https://docs.microsoft.com/en-us/learn/paths/configure-manage-procurement-vendors-dyn365-supply-chain-mgmt/,6,"2,292","19,627",5.44%,827,45,47,2180,32.92976294,750,811,learn-dynamics.configure-manage-procurement-vendors-d365-finance-ops,functional-consultant;business-user,dynamics-365;dynamics-scm;dynamics-finance-operations,intermediate,cstorega,cstorega
Power BI for Tableau users,https://docs.microsoft.com/en-us/learn/paths/power-bi-tableau/,7,"1,574","11,889",5.41%,925,50,53,2180,14.92197162,554,304,learn-bizapps.power-bi-tableau,data-analyst;business-user,power-bi,intermediate,robde,heyrob
AI business school for manufacturing,https://docs.microsoft.com/en-us/learn/paths/ai-business-school-manufacturing/,12,"6,478","60,899",5.38%,"1,040",56,61,2180,16.62736184,"1,505",572,learn.ai-business-school-manufacturing,functional-consultant;business-user,azure;dynamics-365;m365,beginner;intermediate,rawortma,RWortmanMorris
Microsoft Power Platform Fundamentals,https://docs.microsoft.com/en-us/learn/paths/power-plat-fundamentals/,12,"112,918","1,197,820",5.37%,"38,624","2,074","2,242",2180,32.32024434,"30,191",530,learn-bizapps.wwl.power-plat-fundamentals,business-user,dynamics-365;dynamics-finance-operations;power-platform,beginner,chsims,wwlpublish
Data engineering with Azure Databricks,https://docs.microsoft.com/en-us/learn/paths/data-engineer-azure-databricks/,15,"8,543","132,582",5.36%,"5,205",279,303,2180,38.28069179,"4,102",617,learn.wwl.data-engineer-azure-databricks,data-engineer,azure-databricks,intermediate,b-dstrodtman,b-dstrod
Discover the role of Python in space exploration,https://docs.microsoft.com/en-us/learn/paths/introduction-python-space-exploration-nasa/,5,"2,120","15,182",5.34%,"1,068",57,72,2180,13.04921384,"2,069",173,learn.introduction-python-space-exploration-nasa,student;data-scientist,vs-code,beginner,sguthals,drguthals
"Create web apps and services with ASP.NET Core, minimal API, and .NET 6",https://docs.microsoft.com/en-us/learn/paths/aspnet-core-minimal-api/,3,"2,506","14,884",5.28%,"1,572",83,95,2180,15.71532987,202,83,learn.aspnet-core-minimal-api,developer;student,vs;dotnet;aspnet-core;vs-code,beginner,chnoring,softchris
Deliver remote desktops and apps with Azure Virtual Desktop,https://docs.microsoft.com/en-us/learn/paths/m365-wvd/,8,"6,836","64,159",5.23%,"3,998",209,192,2180,25.46193924,"4,614",340,learn-m365.windows-virtual-desktop,administrator,azure;m365;azure-virtual-desktop,intermediate,nedelgad,ndelgado
Use multiple currencies in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/paths/use-multiple-currencies-dynamics-365-business-central/,5,825,"4,093",5.22%,268,14,14,2180,10.49135354,322,184,learn-dynamics.use-multiple-currencies-dynamics-365-business-central,functional-consultant;business-user,dynamics-365;dynamics-business-central,intermediate,kschimke,KevSch
Build great solutions with the Microsoft Azure Well-Architected Framework,https://docs.microsoft.com/en-us/learn/paths/azure-well-architected-framework/,6,"13,230","84,597",5.21%,"4,030",210,234,2180,22.96619048,"4,618",338,learn.azure-well-architected-framework,solution-architect,azure;azure-storage;azure-sql-database;azure-cosmos-db;azure-cost-management;azure-advisor;azure-monitor;azure-cdn;azure-active-directory;azure-virtual-machines;azure-app-service;azure-resource-manager;azure-site-recovery;azure-backup;azure-expressroute,beginner,jaboes,jboeshart
Build web applications with Blazor,https://docs.microsoft.com/en-us/learn/paths/build-web-apps-with-blazor/,7,"8,355","58,942",5.15%,816,42,45,2180,18.92561739,136,258,learn.aspnet.build-blazor-webapps,developer,blazor;aspnet-core;dotnet,beginner;intermediate,jefritz,csharpfritz
Consume data with Power BI,https://docs.microsoft.com/en-us/learn/paths/consume-data-with-power-bi/,2,"32,655","141,413",5.13%,"20,412","1,047","1,123",2180,11.87285,"13,291",129,learn-bizapps.get-started-using-power-bi,business-user,power-bi;power-platform,beginner,robde,heyrob
Universal Resource Scheduling in Microsoft Dynamics 365 for Field Service,https://docs.microsoft.com/en-us/learn/paths/universal-resource-scheduling/,6,727,"6,392",5.13%,429,22,22,2180,31.68296653,528,447,learn-bizapps.universal-resource-scheduling,functional-consultant,dynamics-365;dynamics-field-service,intermediate,dbeasley,DaveBeasley
Extend Office clients with Office add-ins – Associate,https://docs.microsoft.com/en-us/learn/paths/m365-office-add-in-associate/,4,"1,254","4,693",5.12%,410,21,20,2180,7.219896332,702,316,learn-m365.m365-office-add-in-associate,developer,m365;office-add-ins,intermediate,suzanz,andrewconnell-msft
"Empower modern analytics and business intelligence data cultures with Excel, Power BI, MS Teams, and SharePoint",https://docs.microsoft.com/en-us/learn/paths/modern-analytics/,8,"7,593","43,781",5.11%,"2,171",111,118,2180,13.42659467,518,467,learn-bizapps.modern-analytics,data-analyst;business-analyst,power-bi;power-platform,beginner,robde,heyrob
Use Success by Design for Dynamics 365 apps solutions,https://docs.microsoft.com/en-us/learn/paths/use-success-design/,13,"2,700","24,221",5.07%,"1,283",65,69,2180,22.87978395,540,686,learn-dynamics.use-success-design,solution-architect;functional-consultant,dynamics-365;dynamics-sales;dynamics-marketing;dynamics-customer-service;dynamics-field-service;dynamics-finance;dynamics-scm;dynamics-finance-operations;dynamics-project-operations;dynamics-commerce;dynamics-human-resources,advanced,cstorega,cstorega
Get started with Power Automate for desktop,https://docs.microsoft.com/en-us/learn/paths/pad-get-started/,2,"7,349","32,800",5.01%,"6,482",325,368,2180,11.92302581,"1,368",82,learn-bizapps.pad-get-started,maker;developer;functional-consultant,power-platform;power-automate,beginner,marleon,mariosleon
Use basic formulas to make better Power Apps canvas apps,https://docs.microsoft.com/en-us/learn/paths/use-basic-formulas-powerapps-canvas-app/,3,"9,196","44,237",4.97%,"4,586",228,210,2180,11.70659163,"3,401",151,learn-bizapps.use-basic-formulas-make-better-powerapps,business-user;functional-consultant;maker,power-platform;power-apps,intermediate,kschimke,KevSch
Take your first steps with Vue.js,https://docs.microsoft.com/en-us/learn/paths/vue-first-steps/,4,"1,423","8,532",4.97%,866,43,53,2180,15.54096978,465,110,learn.languages.vue-first-steps,developer;student,vs-code;azure-app-service-static,intermediate,chrhar,GeekTrainer
Predict rocket launch delays with machine learning,https://docs.microsoft.com/en-us/learn/paths/machine-learning-predict-launch-delay-nasa/,3,694,"3,648",4.96%,343,17,16,2180,8.799063401,718,108,learn.student-evangelism.machine-learning-predict-launch-delay-nasa,student;data-scientist,vs-code,beginner,sguthals,sguthals
Create machine learning models,https://docs.microsoft.com/en-us/learn/paths/create-machine-learn-models/,5,"14,085","112,263",4.88%,"10,482",512,540,2180,29.65995503,"7,337",318,learn.wwl.create-machine-learn-models,ai-engineer;data-scientist;developer;student,vs-code;azure,intermediate,jasdeb,jasallen
"Use basketball stats to optimize game play with Visual Studio Code, inspired by the new film SPACE JAM: A NEW LEGACY",https://docs.microsoft.com/en-us/learn/paths/optimize-basketball-games-with-machine-learning/,5,"1,210","6,486",4.84%,579,28,27,2180,8.16231405,836,263,learn.student-evangelism.optimize-basketball-games-with-machine-learning,data-scientist;developer;student,vs-code;azure;azure-app-service-static;github,beginner,sguthals,sguthals
Cloud storage,https://docs.microsoft.com/en-us/learn/paths/cmu-cloud-computing-cloud-storage/,3,"1,096","4,761",4.82%,539,26,30,2180,6.959930049,"1,342",312,learn.cmu-cloud-computing.cloud-storage,developer;student,azure,beginner;intermediate,chnoring,softchris
Build real world applications with Python,https://docs.microsoft.com/en-us/learn/paths/python-language/,3,"15,937","86,046",4.82%,"3,921",189,230,2180,13.96154441,"1,717",129,learn.languages.python-apps,developer;student,vs-code,beginner,chnoring,softchris
Build Azure infrastructure in a team environment by using Bicep,https://docs.microsoft.com/en-us/learn/paths/bicep-collaborate/,5,"1,162","8,051",4.78%,649,31,38,2180,19.64615605,58,189,learn.bicep-collaborate,developer;administrator;solution-architect,azure;azure-resource-manager,intermediate,jodowns,johndowns
AZ-400: Develop a Site Reliability Engineering (SRE) strategy,https://docs.microsoft.com/en-us/learn/paths/az-400-develop-sre-strategy/,8,"13,936","117,042",4.66%,"2,809",131,146,2180,22.44908152,"1,877",466,learn.az-400-develop-sre-strategy,devops-engineer;administrator;developer;solution-architect,azure;azure-monitor;azure-load-balancer;azure-virtual-machines,beginner,thpetche,tpetchel
Build mixed reality digital twins with Azure Digital Twins and Unity,https://docs.microsoft.com/en-us/learn/paths/build-mixed-reality-azure-digital-twins-unity/,4,"1,012","8,670",4.63%,540,25,26,2180,19.53443676,252,239,learn.azure.build-mixed-reality-azure-digital-twins-unity,developer;business-owner;student;technology-manager,azure;azure-cloud-services;azure-cognitive-services;azure-digital-twins;azure-iot;azure-iot-hub;azure-signalr-service;azure-event-grid;azure-event-hubs;azure-functions;hololens;windows;windows-mixed-reality,beginner,jejacks,JBrentJ
